Place Name,City,Category,Subcategory,Address,Description,Website,Priority,Multi-Use Notes
Allo Vélo,Montreal,Services,Bicycle Rental,"141 Rue du Shannon, Montreal, QC",Bike rental shop offering standard and cargo bikes. 4.8★ (375 reviews). Practical eco-transport.,,Low,
Arsenal art contemporain Montréal,Montreal,"Art/Culture, Venue",Contemporary Art Gallery,"2020 Rue William, Montreal, QC","Massive contemporary art space in Griffintown with rotating exhibitions, VR experiences, and immersive installations. 4.6★ (3046 reviews). Montreal's premier gallery.",,High,Major venue potential for art-forward tour activation or exhibition partnership.
Aux Vivres Plateau,Montreal,Vendor,Vegan Restaurant,"4631 Boul. Saint-Laurent, Montreal, QC","The original Montreal vegan restaurant — a longstanding institution on the Main. Wraps, bowls, smoothies, and comfort food. 4.5★ (3107 reviews).",,Medium,
Boxotel,Montreal,Accommodation,Eco-Friendly Hotel,"175 Rue Ontario E, Montreal, QC","Modern eco-conscious hotel with clean design, full kitchen, washer/dryer in each suite. Minimalist sustainability ethos. 4.7★ (340 reviews).",,High,Recommended accommodation for tour crew. Self-contained suites good for extended stays.
Bulk & Jars - Grocery Bio,Montreal,Vendor,Zero-Waste / Organic Bulk Store,"6698 Av. Christophe Colomb, Montreal, QC","Organic bulk grocery with wide selection of dry goods, oils, spices, and eco-friendly household products. 4.7★ (454 reviews).",,Medium,Vendor sourcing or event partner
Café des Habitudes,Montreal,"Vendor, Environmental",Zero-Waste Café + Community Space,"1104 Rue Saint-Zotique Est, Montreal, QC","Zero-waste café doubling as a community event space. Locally sourced food, bulk goods corner, workshops. 4.7★ (492 reviews).",,High,Triple-use: café + zero-waste shopping + community events/workshops. Excellent for grassroots community activation.
Camellia Sinensis Boutique,Montreal,Vendor,Tea Shop,"351 Rue Émery, Montreal, QC","Renowned tea boutique with handpicked teas from around the world. Tasting room, education, curated selections. 4.7★ (922 reviews). A Montreal institution for tea culture.",,High,Potential co-branded tea tasting event or vendor partnership.
Cha Do Raku,Montreal,"Vendor, Wellness",Japanese Tea House,"750 Rue de Bienville, Montreal, QC","Authentic Japanese tea house offering traditional ceremony, matcha, and contemplative atmosphere. 4.8★ (275 reviews). A meditative experience.",,High,Dual-use: vendor + wellness (tea ceremony as mindfulness practice). Strong alignment with tour values.
ChuChai,Montreal,Vendor,Vegan Thai Restaurant,"4088 R. Saint-Denis, Montreal, QC",Thai-inspired vegan restaurant known for creative mock-meat dishes and Southeast Asian flavors. 4.6★ (1298 reviews).,,Medium,
Châteaufort Community Garden,Montreal,Environmental,Community Garden,"Coin Avenue Van Horne, Montreal, QC",Members-only community garden with plots and communal spaces. 4.3★ (40 reviews). Winter may limit access.,,Low,
CIRCA art actuel,Montreal,Art/Culture,Contemporary Art Gallery,"372 Rue Sainte-Catherine O #444, Montreal, QC",Contemporary art gallery in the historic Belgo Building artist complex. 4.8★ (17 reviews). Surrounded by other galleries and studios.,,Medium,
ensō yoga,Montreal,Wellness,Yoga Studio,"1470 Peel St #100, Montreal, QC",Downtown yoga studio with modern approach. Convenient central location. 4.2★ (241 reviews).,,Medium,
Fitz Montréal Bike Tours,Montreal,Services,E-Bike Tours + Rentals,"1251 Rue Rachel E, Montreal, QC",E-bike tours and rentals specializing in guided neighborhood exploration. 4.9★ (1388 reviews). Top-rated cycling experience.,,Medium,Could organize group e-bike tour for community event.
Frenco Café et Vrac,Montreal,Vendor,Café + Zero-Waste Bulk Store,"4072 Boul. Saint-Laurent, Montreal, QC","Hybrid café and bulk store on the Main. Coffee, tea, and light bites alongside bulk dry goods and eco products. 4.5★ (275 reviews).",,Medium,Multi-use: café meetup + zero-waste shopping. Great for casual community gathering.
Innocere Yoga,Montreal,Wellness,Yoga Studio,"160 Rue Prince-Arthur E, Montreal, QC","Top-rated yoga studio on Prince-Arthur. Welcoming community, diverse class offerings. 5.0★ (491 reviews).",,High,Potential wellness partnership or community yoga session venue.
Jardin botanique de Montréal,Montreal,"Environmental, Venue, Wellness",Botanical Garden,"4101 R. Sherbrooke E, Montreal, QC","One of the world's largest botanical gardens featuring Chinese & Japanese gardens, greenhouses, and seasonal light festivals. 4.6★ (28544 reviews). A must-visit landmark.",https://espacepourlavie.ca/en/botanical-garden,High,Triple-use: Environmental education + event venue + wellness/nature immersion. Potential partnership for eco-tour or private event.
L'Hotel Particulier Griffintown,Montreal,Accommodation,Boutique Hotel,"1200 Rue Ottawa, Montreal, QC","Boutique hotel in Griffintown with Secret Garden, dog-friendly policy, and intimate design. 4.7★ (344 reviews).",,Medium,Secret Garden could host small gathering. Near Arsenal gallery.
La Finca Café,Montreal,Vendor,Organic Café + Local Market,"1067 Rue de Bleury, Montreal, QC","Farm-to-table café with local market section. Organic coffee, fresh meals, artisan goods. 4.6★ (1997 reviews).",,Medium,Dual-use: café + local goods market. Potential vendor pop-up spot.
Livart Centre d'art,Montreal,"Art/Culture, Venue",Multi-Floor Art Center,"3980 R. Saint-Denis, Montreal, QC","Multi-floor art center with gallery spaces, workshops, and events. 4.4★ (158 reviews). Versatile venue for creative programming.",,Medium,Event venue potential with flexible gallery/workshop spaces.
Lola Rosa Milton,Montreal,Vendor,Vegetarian Restaurant,"545 Rue Milton, Montreal, QC","Beloved vegetarian restaurant near McGill serving creative, hearty plant-forward meals. 4.6★ (1986 reviews). A Montreal institution.",,Medium,
LOV,Montreal,"Vendor, Venue",Upscale Vegan Restaurant,"464 Rue McGill, Montreal, QC",Upscale vegan restaurant in Old Montreal with stunning interior design and creative plant-based menu. 4.4★ (3196 reviews). Great for press or influencer dinner.,https://lov.com,High,Event venue potential — beautiful space for private gathering or launch dinner
Lux La Lumière,Montreal,"Vendor, Art/Culture",Organic Café + Art Gallery,"214 Rue Bernard O, Montreal, QC","Unique hybrid of organic restaurant and art gallery in Mile End. Locally sourced menu, rotating exhibitions. 4.7★ (285 reviews).",,High,Dual-use: dining + art viewing. Potential venue for intimate creative gathering or pop-up.
March Saint Laurent,Montreal,Vendor,Café + Artisan Goods,"503 Pl. d'Armes, Montreal, QC",Café and local goods shop in Old Montreal. Curated artisan products and specialty coffee. 4.8★ (261 reviews).,,Medium,Dual-use: café + artisan marketplace. Old Montreal location ideal for tourist-facing activation.
Mile-End Community Garden,Montreal,Environmental,Community Garden,"Av. Henri-Julien, Montreal, QC","Neighborhood community garden in the heart of Mile End. 4.3★ (7 reviews). Intimate, local feel.",,Low,
Ming Tao Xuan,Montreal,Vendor,Chinese Tea House,"451 Rue Saint-Sulpice, Montreal, QC","Traditional Chinese tea ceremony house in Old Montreal. Rare teas, beautiful setting. 4.6★ (292 reviews).",,Medium,
Montreal Art Center and Museum,Montreal,Art/Culture,Art Museum,"1844 Rue William, Montreal, QC",Eclectic art collection and museum in Griffintown area. 4.3★ (149 reviews).,,Low,
Morpho Bleu,Montreal,Wellness,Wellness Center,"4260 Av. Girouard 3rd floor, Montreal, QC","Holistic wellness center offering yoga, movement, and healing arts classes. 4.6★ (74 reviews).",,Medium,
Méga Vrac Mont-Royal,Montreal,Vendor,Zero-Waste Store,"1951 Avenue du Mont-Royal E, Montreal, QC","Bulk grocery on Mont-Royal Ave offering dry goods, cleaning products, and personal care items. 4.3★ (56 reviews).",,Low,
NDG Community Garden,Montreal,Environmental,Community Garden,"4335 Av. de Hampton, Montreal, QC",Notre-Dame-de-Grâce neighborhood community garden. 4.5★. Residential area community project.,,Low,
Romarin - épicerie zéro déchet,Montreal,Vendor,Zero-Waste Store,"5251 Boul. Saint-Laurent, Montreal, QC","Zero-waste grocery in Mile End offering bulk foods, personal care, and household products. 4.5★ (86 reviews).",,Medium,
Rosemont Community Garden,Montreal,Environmental,Community Garden,"Rosemont et 31e Avenue, Montreal, QC",Well-established urban community garden in residential Rosemont neighborhood. 4.4★ (21 reviews).,,Low,
Sacred Fire Productions Cultural Space,Montreal,Art/Culture,Indigenous Art + Cultural Center,"43 Rue des Soeurs-Grises, Montreal, QC","Indigenous-led cultural space showcasing First Nations art, hosting ceremonies and community events. 4.5★ (79 reviews). Deep alignment with earth-based values.",,High,Strong alignment with tour ethos. Potential cultural exchange or co-hosted event.
TULA - Les repas végétaliens équilibrés,Montreal,Vendor,Vegan Restaurant,"5258 Boul. Saint-Laurent, Montreal, QC","Indian-inspired vegan restaurant with balanced, colorful plates. Top-rated in Montreal. 4.9★ (2010 reviews). Exceptional plant-based cuisine.",https://tulamontreal.com,High,Potential venue for small private dinner/gathering; strong community following
W Montreal,Montreal,Accommodation,Hotel,"901 Rue du Square-Victoria, Montreal, QC","Centrally located hotel in Old Montreal. Modern amenities, excellent transit access. 4.5★ (1575 reviews).",,Medium,
Willow Wellness Centre,Montreal,Wellness,Holistic Wellness Center,"185 Dorval Ave Suite 304, Dorval, QC","Holistic wellness center offering Pilates, yoga, and integrative health services. 5.0★ (13 reviews). Located in Dorval suburb.",,Low,
Yoga Boho Wellness,Montreal,Wellness,Yoga + Wellness Studio,"5109 Blvd. De Maisonneuve Ouest, Montreal, QC",Boutique wellness studio offering yoga and holistic treatments. 5.0★ (4 reviews). Intimate setting.,,Low,
Ça Roule Montreal,Montreal,Services,Bicycle Rental + Tours,"27 Rue de la Commune E, Montreal, QC",Bike rentals and guided cycling tours in Old Montreal and along the canal. 4.8★ (633 reviews). Great for eco-friendly city exploration.,,Medium,Eco-transport option for tour crew or community bike ride event.
Épicerie LOCO Plateau,Montreal,"Environmental, Vendor",Zero-Waste Store,"368 Avenue du Mont-Royal E, Montreal, QC","Plastic-free grocery store offering organic bulk goods, local products, and zero-waste lifestyle essentials. 4.9★ (144 reviews). A flagship zero-waste destination in the heart of the Plateau.",https://epicerieloco.ca,High,Potential vendor partner for tour pop-up; community engagement hub
1 Hotel Toronto,Toronto,Accommodation,Sustainable Hotel,"550 Wellington St W, Toronto, ON",Sustainability-focused luxury hotel with biophilic design and eco-conscious amenities. 4.5★ (675 reviews).,,High,"Strong brand alignment — sustainability-focused design, potential partnership venue"
Alex Wilson Community Garden,Toronto,Environmental,Community Garden,"556 Richmond St W, Toronto, ON",Urban oasis community garden in downtown Toronto. 4.7★ (18 reviews).,,Medium,
Art Gallery of Ontario (AGO),Toronto,"Art/Culture, Venue",Art Museum,"317 Dundas St W, Toronto, ON",Major art museum with collection spanning 1st century to present. Frank Gehry-designed expansion. 4.7★ (18580 reviews).,,High,
Bampot House,Toronto,Vendor,Tea House,"201 Harbord St, Toronto, ON",Cozy tea house with board games and unlimited tea service. Over 100 tea varieties. 4.5★ (1069 reviews).,,High,
Buddha's Vegan Restaurant,Toronto,Vendor,Vegan Restaurant,"666 Dundas St W, Toronto, ON M5T 1H9","Popular Chinese vegan restaurant with wide menu. Generous portions, long-standing Toronto favorite. 4.6★ (1343 reviews).",,Medium,
Crimson Teas,Toronto,Vendor,Tea House,"415 Spadina Ave, Toronto, ON",Unique tea house offering tea-based noodle dishes alongside traditional tea service. 4.8★ (513 reviews).,,High,
d|bar at Four Seasons,Toronto,Vendor,Afternoon Tea,"60 Yorkville Ave, Toronto, ON",Elegant afternoon tea service at Four Seasons Yorkville. Premium tea selection. 4.3★ (854 reviews).,,Medium,
Emmett Community Garden,Toronto,Environmental,Community Garden,"101 Emmett Ave, Toronto, ON",Family-friendly community garden with picnic area. 4.9★ (7 reviews).,,Low,
Exclusive Sport Rentals,Toronto,Services,Equipment Rental,"8575 Keele St, Concord, ON",Sports equipment rental service including bicycles. 4.9★ (881 reviews).,,Low,
Fair Grounds Organic Cafe,Toronto,Vendor,Organic Cafe,"3785 Lake Shore Blvd W, Toronto, ON M8W 1R1","Certified organic coffee roastery and cafe. Fair trade sourcing, cozy lakeside atmosphere. 4.4★ (539 reviews).",,Medium,
Fairmont Royal York,Toronto,Accommodation,Landmark Hotel,"100 Front St W, Toronto, ON",Iconic Toronto landmark hotel across from Union Station. Grand historic property. 4.4★ (12990 reviews).,,Medium,
Gears Bike Shop Toronto,Toronto,Services,Bicycle Shop,"599 King St E, Toronto, ON",Bike shop offering free tune-ups and full service. Community-oriented. 4.5★ (432 reviews).,,Medium,
Hawker,Toronto,Vendor,Vegan Restaurant,"291 Augusta Ave, Toronto, ON M5T 2L9","Indian-inspired vegan tapas bar in Kensington Market. Creative small plates, vibrant atmosphere. 4.7★ (806 reviews).",https://www.hawkerbar.com,High,
IAM YOGA PILATES,Toronto,Wellness,Yoga Studio,"680 Yonge St, Toronto, ON",Combined yoga and reformer pilates studio with smoothie bar. 4.2★ (274 reviews).,,Medium,
ICHA TEA,Toronto,Vendor,Tea House,"235 Spadina Ave Unit 4, Toronto, ON",Specialty matcha and tea cafe in Chinatown. Modern aesthetic with creative drinks. 4.5★ (1224 reviews).,,Medium,
Kimpton Saint George Hotel,Toronto,Accommodation,Boutique Hotel,"280 Bloor St W, Toronto, ON",Upscale boutique hotel in the Annex/Yorkville area. Modern design with artistic touches. 4.5★ (798 reviews).,,High,
Kitten and the Bear,Toronto,Vendor,Tea House/Cafe,"1414 Dundas St W, Toronto, ON",British-style tea house famous for scones with clotted cream and house-made preserves. 4.7★ (446 reviews).,,High,
Kula Yoga Studio,Toronto,Wellness,Yoga Studio,"304 Brunswick Ave, Toronto, ON",Mindfulness-focused yoga studio in the Annex neighborhood. 4.4★ (72 reviews).,,Medium,
La Vegan Ethiopian,Toronto,Vendor,Vegan Restaurant,"1450 Danforth Ave, Toronto, ON M4J 1N4","Ethiopian/Eritrean vegan restaurant. Authentic injera platters, communal dining, exceptional flavors. 4.9★ (445 reviews).",,High,
Milky Way Lane Community Garden,Toronto,Environmental,Community Garden,"87 Milky Way, Toronto, ON",Part of Toronto's Greenest City program. 5.0★ (2 reviews).,,Low,
Museum of Contemporary Art Toronto (MOCA),Toronto,"Art/Culture, Venue",Art Museum,"158 Sterling Rd, Toronto, ON",Contemporary art museum in converted industrial space in Junction Triangle. 3.9★ (1453 reviews).,,Medium,
Nabulu Coffee,Toronto,Vendor,Specialty Coffee,"6 St Joseph St, Toronto, ON M4Y 1J8","Palestinian-owned specialty coffee shop. Quality beans, vibrant community space, cultural connection. 4.6★ (455 reviews).",,Medium,
Native Canadian Centre of Toronto,Toronto,"Environmental, Education/Science",Indigenous Cultural Center,"16 Spadina Rd, Toronto, ON","Cultural programs, community services, and educational resources for Indigenous communities. 4.7★ (296 reviews).",,High,Potential collaboration partner for cultural events and community programming
Northern Contemporary Gallery,Toronto,Art/Culture,Art Gallery,"420 Roncesvalles Ave, Toronto, ON",Gallery showcasing local and emerging artists in Roncesvalles. 4.8★ (107 reviews).,,Medium,
Oakvale Green Community Gardens,Toronto,Environmental,Community Garden,"77 Oakvale Ave, Toronto, ON",Open 24-hour community garden space. 4.2★ (28 reviews).,,Medium,
Ontario Federation of Indigenous Friendship Centres,Toronto,"Environmental, Education/Science",Indigenous Organization,"219 Front St E, Toronto, ON","Provincial organization providing training, resources, and advocacy for Indigenous communities. 4.4★ (22 reviews).",,Medium,
Organic Press Cafe,Toronto,Vendor,Organic Cafe,"708 Annette St, Toronto, ON M6S 2E2","Cold-pressed juice bar and organic cafe. Health-focused menu with smoothies, bowls, and coffee. 4.6★ (57 reviews).",,Medium,
Pantages Hotel Downtown Toronto,Toronto,Accommodation,Hotel,"200 Victoria St, Toronto, ON",Budget-friendly centrally located hotel near Eaton Centre. 3.9★ (1686 reviews).,,Medium,
PLANTA Queen,Toronto,Vendor,Vegan Restaurant,"180 Queen St W, Toronto, ON M5V 2A1","Upscale plant-based Asian fusion restaurant. Beautiful interior, creative cocktails, elevated vegan dining. 4.5★ (3022 reviews).",https://www.plantarestaurants.com,High,
Pretty Clean Shop,Toronto,Vendor,Zero-Waste Store,"3010 Dundas St W, Toronto, ON M6P 1Z3","Eco-friendly shop offering sustainable home goods, personal care, and gifts. Clean beauty focus. 4.7★ (79 reviews).",https://www.prettycleanshop.com,Medium,
Solis Movement,Toronto,Wellness,Yoga Studio,"548 King St W, Toronto, ON","Hot yoga, pilates, and reformer classes in King West. 4.3★ (231 reviews).",,Medium,
Stefano's Diner,Toronto,Vendor,Vegan Restaurant,"1265 Dundas St W, Toronto, ON M6J 1X8",Italian-inspired vegan diner. Comfort food classics made plant-based with creative flair. 4.7★ (293 reviews).,,Medium,
Sweat and Tonic,Toronto,"Wellness, Venue",Yoga/Fitness Center,"225 Yonge St, Toronto, ON","Multi-studio fitness center with yoga, infrared sauna, cold plunge, and in-house cafe. 4.3★ (1367 reviews).",,High,
Sweet Pete's Bike Shop,Toronto,Services,Bicycle Shop,"1204 Bloor St W, Toronto, ON","Full-service bike shop with sales, rentals, and repairs. Community hub for cyclists. 4.8★ (1893 reviews).",,Medium,
The Hogtown Vegan,Toronto,Vendor,Vegan Restaurant,"382 College St, Toronto, ON M5T 1S8","Vegan comfort food institution — burgers, poutine, mac & cheese all plant-based. Toronto staple. 4.5★ (1055 reviews).",,High,
The Omni King Edward Hotel,Toronto,Accommodation,Luxury Hotel,"37 King St E, Toronto, ON",Historic luxury hotel (est. 1903) with ornate architecture. 4.6★ (4346 reviews).,,High,
The Power Plant Contemporary Art Gallery,Toronto,Art/Culture,Art Gallery,"231 Queens Quay W, Toronto, ON",Free-admission contemporary art gallery on the waterfront. Leading non-collecting institution. 4.4★ (568 reviews).,,High,
The RE Place,Toronto,Vendor,Zero-Waste Refillery + Cafe,"2165B Danforth Ave, Toronto, ON M4C 1K3","Refillery and cafe concept. Bring containers for cleaning and body products, plus coffee and light bites. 5.0★ (120 reviews).",,High,
The Source Bulk Foods Leslieville,Toronto,Vendor,Bulk / Zero-Waste Store,"901 Queen St E, Toronto, ON M4M 1J4","Organic bulk food store. Nuts, grains, spices, snacks, cleaning products — all package-free. 4.8★ (125 reviews).",,Medium,
The Source Bulk Foods Roncy,Toronto,Vendor,Bulk / Zero-Waste Store,"213 Roncesvalles Ave, Toronto, ON M6R 2L6","Organic bulk food store in Roncesvalles. Locally sourced, package-free shopping. 4.8★ (128 reviews).",,Medium,
Thorncliffe Park Garden,Toronto,Environmental,Community Garden,"25 Beth Nealson Dr, Toronto, ON",Large community garden with 130 individual plots. 4.8★ (8 reviews).,,Medium,
Toronto Bicycle Tours,Toronto,Services,Bicycle Tours,"124 St Patrick St, Toronto, ON",Guided bicycle tours including Toronto Islands. Highly rated tour experience. 4.9★ (1217 reviews).,,High,
Toronto Botanical Garden,Toronto,Environmental,Garden,"777 Lawrence Ave E, Toronto, ON","Free-entry botanical garden with themed gardens including Teaching Garden, Entry Garden Walk, and Woodland Walk. 4.6★ (5929 reviews).",,High,
Toronto Council Fire Native Cultural Centre,Toronto,"Environmental, Education/Science",Indigenous Cultural Center,"439 Dundas St E, Toronto, ON",Community services and cultural programming for Indigenous peoples in Toronto. 4.6★ (154 reviews).,,High,
Tsuchi Cafe,Toronto,Vendor,Vegan Cafe,"688 College St, Toronto, ON M6G 1B8","Japanese-inspired vegan cafe. Matcha, onigiri, udon, gyoza — all plant-based with serene aesthetic. 4.7★ (852 reviews).",,High,
Unboxed Market,Toronto,Vendor,Zero-Waste Store,"1263 Dundas St W, Toronto, ON M6J 1X8","Toronto's first zero-waste grocery store. Package-free shopping, local products, refill stations. 4.6★ (275 reviews).",https://www.unboxedmarket.com,High,
United Contemporary,Toronto,Art/Culture,Art Gallery,"129 Tecumseth St, Toronto, ON","Small, curated contemporary gallery with rotating exhibitions. 4.9★ (24 reviews).",,Low,
VegeDelight,Toronto,Vendor,Vegetarian Restaurant,"173 Dundas St W, Toronto, ON M5G 1C7","Chinese vegetarian cuisine with mock meat specialties. Affordable, generous portions, beloved by locals. 4.8★ (400 reviews).",,Medium,
Veggie D'Light,Toronto,Vendor,Vegan Restaurant,"160 Baldwin St, Toronto, ON M5T 1L6","Jamaican vegan cuisine in Kensington Market. Jerk tofu, ackee, patties — all plant-based Caribbean flavors. 4.8★ (523 reviews).",,High,
Yoga Tree Bay Dundas,Toronto,Wellness,Yoga Studio,"123 Dundas St W, Toronto, ON",Hot yoga studio with sauna facilities. Offers variety of yoga styles. 4.4★ (374 reviews).,,High,
